id,y_pred,y_score
seq_4132|1,1,0.9465745758060753
seq_3375|1,1,0.9242031094460208
seq_2867|1,0,0.4237365454391145
seq_3918|1,1,0.7445505543828115
seq_2583|1,1,0.9042043861577239
seq_915|1,1,0.6855110475565687
seq_2667|1,1,0.7920010348196395
seq_1437|1,1,0.8672744932618532
seq_1|1,1,0.9650031129967029
seq_1398|1,1,0.9710402594731683
seq_2546|1,1,0.9629442915077349
seq_1830|1,1,0.9370595261017199
seq_3207|1,1,0.8003114739622496
seq_30|1,1,0.8033281173780151
seq_581|1,1,0.8004830813766289
seq_3398|1,0,0.47167090846995097
seq_66|1,1,0.9757263957387733
seq_641|1,1,0.5479171140102086
seq_1214|1,1,0.902166930261686
seq_4849|1,1,0.9344755646830486
seq_2874|1,1,0.9527717817989338
seq_2453|1,1,0.809334434837608
seq_213|1,1,0.979987309702407
seq_2924|1,1,0.9418792671717393
seq_4358|1,1,0.9898042387699111
seq_3701|1,1,0.8724056860321469
seq_2752|1,1,0.9671317305182204
seq_2611|1,1,0.8291747312593699
seq_2532|1,1,0.9386833906079449
seq_1475|1,1,0.9916543491110787
seq_3425|1,1,0.9384193151447319
seq_2540|1,1,0.8951045407362611
seq_1846|1,0,0.121270451047544
seq_4002|1,1,0.8687415759788703
seq_4673|1,1,0.6004643112452255
seq_1376|1,1,0.9401052782759531
seq_1026|1,1,0.8755903366714273
seq_4013|1,1,0.9312428028593492
seq_3379|1,1,0.969111562821255
seq_333|1,1,0.609275972906296
seq_2086|1,1,0.8918291193019511
seq_2785|1,1,0.8702468933443722
seq_2126|1,1,0.7554729013373694
seq_4523|1,1,0.6553467204461921
seq_883|1,1,0.9887380662743919
seq_981|1,1,0.9687433608293892
seq_1163|1,1,0.8966707351545379
seq_2347|1,1,0.9169053210684597
seq_3015|1,1,0.7807100900379614
seq_4782|1,1,0.8427431971282389
seq_3654|1,1,0.9703328638088329
seq_3032|1,1,0.9855988824279407
seq_1695|1,1,0.5015064556390604
seq_2208|1,1,0.9868900031727603
seq_4404|1,1,0.9844576465718885
seq_1086|1,0,0.050743923983538324
seq_1439|1,1,0.8365758855196708
seq_4356|1,1,0.8901448238705165
seq_4109|1,1,0.9208990431908411
seq_2966|1,1,0.9735728434647487
seq_780|1,1,0.9885534269846574
seq_4216|1,1,0.9822613381132889
seq_2517|1,1,0.9590350058135076
seq_3367|1,1,0.9673061908454017
seq_475|1,1,0.9687105769405543
seq_3723|1,1,0.9917608242290011
seq_919|1,1,0.8248645277113011
seq_3019|1,1,0.7911559015952369
seq_664|1,1,0.9811387427194397
seq_4822|1,1,0.9694981748821302
seq_2361|1,1,0.9271443351234371
seq_983|1,1,0.9490765079172708
seq_3988|1,1,0.9151205648828701
seq_4928|1,1,0.9420177481197711
seq_506|1,1,0.9778521318417513
seq_2519|1,1,0.9929384331068077
seq_3081|1,1,0.9215114592195914
seq_586|1,1,0.7582238772366187
seq_838|1,1,0.5105801067267731
seq_2382|1,1,0.9107980824616143
seq_4370|1,1,0.6800290612573876
seq_4323|1,1,0.9387263335253286
seq_3776|1,1,0.9629695095794506
seq_2100|1,1,0.9530263725914753
seq_536|1,1,0.5757462234438099
seq_4457|1,1,0.9330743177604072
seq_4680|1,1,0.9665854918994817
seq_2822|1,1,0.8657068349511908
seq_1745|1,0,0.30188802801100045
seq_3733|1,1,0.9784675089060968
seq_4206|1,1,0.8919975737934637
seq_690|1,1,0.9224641918468216
seq_4886|1,0,0.4170220129826277
seq_4921|1,1,0.9796498086555181
seq_293|1,1,0.9860755758629347
seq_929|1,1,0.8932422614319411
seq_4593|1,1,0.9588987843827198
seq_840|1,1,0.8209108768572602
seq_122|1,1,0.875648748887655
seq_2217|1,1,0.9616489294076664
seq_1303|1,1,0.5602244280657227
seq_4215|1,1,0.9358011713331433
seq_2127|1,1,0.9103793323575933
seq_3605|1,1,0.9578078826193234
seq_2224|1,1,0.8910212593131446
seq_2223|1,1,0.8286375445043725
seq_2471|1,1,0.9508479414126483
seq_1577|1,1,0.740676390623211
seq_4339|1,1,0.9766309624441242
seq_4466|1,1,0.8566199691224559
seq_1604|1,1,0.9899034462759919
seq_21|1,1,0.9827129593972704
seq_2749|1,1,0.9674489559537598
seq_3312|1,1,0.953794973400372
seq_3270|1,1,0.9835436457613129
seq_1979|1,1,0.9786925999294083
seq_2285|1,0,0.32471745516402534
seq_372|1,1,0.9718057234190705
seq_597|1,1,0.5946124447126798
seq_4814|1,1,0.9747393883556129
seq_2236|1,1,0.8198435094557357
seq_2632|1,1,0.8736250499050788
seq_2270|1,1,0.9508585536346923
seq_4035|1,1,0.8810526778647461
seq_2043|1,1,0.9668598046075778
seq_3429|1,1,0.937860260349962
seq_3249|1,1,0.8862131279358171
seq_4102|1,1,0.8922795149939795
seq_3559|1,1,0.7367166998320593
seq_4401|1,1,0.8835811403692039
seq_4019|1,1,0.970493576675375
seq_135|1,1,0.9873514516153129
seq_1108|1,1,0.8741493377150565
seq_4516|1,1,0.9525319381533016
seq_2508|1,1,0.7752566843416359
seq_4887|1,1,0.9744073551380693
seq_316|1,1,0.9643811999506988
seq_3041|1,1,0.991335771680305
seq_3424|1,1,0.8498514958178307
seq_1187|1,1,0.9802407671225524
seq_1221|1,1,0.9783957872414226
seq_3510|1,0,0.20049887668095911
seq_4361|1,1,0.8707181753056984
seq_1667|1,1,0.8669317196131069
seq_1684|1,1,0.9324400549928347
seq_1404|1,1,0.5903813371727356
seq_4683|1,1,0.8134072039158312
seq_4053|1,1,0.9719753558485944
seq_3548|1,1,0.8418404650096618
seq_3113|1,1,0.8106000553097322
seq_1606|1,1,0.5411540143450811
seq_1091|1,1,0.9471579258404315
seq_4881|1,1,0.8391747492874897
seq_4729|1,1,0.7218367448038476
seq_2756|1,1,0.8670329060315644
seq_2014|1,1,0.8866336384567389
seq_2871|1,1,0.9713189112275415
seq_53|1,1,0.9223883830064042
seq_349|1,1,0.9731684491858301
seq_2478|1,1,0.8990385166209448
seq_3607|1,1,0.9860173642469475
seq_4424|1,1,0.5055957222724882
seq_2396|1,1,0.9357891434735033
seq_4973|1,0,0.2162432799387157
seq_3076|1,1,0.8537723758770757
seq_3586|1,1,0.9681146851708915
seq_574|1,1,0.6551948613393234
seq_1486|1,1,0.9870809557768697
seq_1441|1,1,0.9732436425362969
seq_3479|1,1,0.982100520522446
seq_2056|1,1,0.9873505877241812
seq_2352|1,1,0.9025355458178017
seq_1209|1,1,0.9498851399491569
seq_3214|1,1,0.6701301591401762
seq_1549|1,1,0.79906551534507
seq_1059|1,1,0.9477329252796549
seq_1705|1,1,0.8242626166897663
seq_175|1,0,0.27154230776387767
seq_2684|1,1,0.7403300675717535
seq_628|1,1,0.9719612597690018
seq_182|1,1,0.917802838614549
seq_1057|1,1,0.9870884631700328
seq_81|1,1,0.9625448655156265
seq_2259|1,1,0.9932448590249684
seq_1078|1,1,0.7938268387127695
seq_1346|1,1,0.9716486635468775
seq_2595|1,1,0.6575377467423835
seq_878|1,1,0.9795862696960101
seq_2849|1,1,0.8899734248042045
seq_22|1,1,0.9573127864633567
seq_4328|1,1,0.9269356753521986
seq_1995|1,1,0.9498740405546298
seq_2484|1,1,0.6746470038418578
seq_2516|1,1,0.8962812708529948
seq_2647|1,1,0.780540747031814
seq_2463|1,1,0.7895512957546973
seq_4015|1,0,0.34474874702984
seq_1644|1,1,0.9496649146828323
seq_722|1,1,0.9230417411941809
seq_4101|1,1,0.6700295210458527
seq_5|1,1,0.9450710273767624
seq_1206|1,1,0.9168835735893118
seq_3949|1,1,0.9526608297878167
seq_4164|1,1,0.744966923166077
seq_3245|1,1,0.9546377811989978
seq_2326|1,1,0.932709881167159
seq_942|1,1,0.9779672209671249
seq_2483|1,1,0.8058151468731525
seq_2366|1,1,0.9171525692040842
seq_4030|1,1,0.7594200801880795
seq_4896|1,1,0.726750134344597
seq_2990|1,1,0.6184718498299075
seq_4427|1,1,0.754828148950421
seq_2778|1,1,0.9808657395940147
seq_231|1,1,0.9846100871214039
seq_4306|1,1,0.9007736316182682
seq_2601|1,1,0.9010883530703576
seq_1219|1,1,0.8934733354125733
seq_283|1,0,0.2770087180322378
seq_3371|1,1,0.9614174117152299
seq_2545|1,1,0.6506435660317929
seq_1331|1,1,0.9521298959115
seq_1910|1,1,0.9115061156635663
seq_3247|1,0,0.15595689146406191
seq_805|1,1,0.8936430772935747
seq_4384|1,0,0.3256061446219764
seq_3345|1,1,0.959968757529649
seq_4574|1,1,0.8653881076992682
seq_4963|1,1,0.9612143118552192
seq_3585|1,1,0.9023327306402908
seq_4079|1,1,0.9764353734426887
seq_2205|1,1,0.5936424333984143
seq_948|1,1,0.9903746117886663
seq_3226|1,1,0.7024850770318132
seq_4768|1,1,0.982204321409135
seq_3501|1,1,0.6713123092359662
seq_861|1,1,0.9621121020156552
seq_514|1,1,0.8423776916532686
seq_4221|1,1,0.9317393927189155
seq_1199|1,1,0.9875254520573419
seq_4152|1,1,0.9071488908287275
seq_1518|1,0,0.43306437611306775
seq_1050|1,1,0.6958418611600952
seq_4331|1,1,0.8713003863598531
seq_4818|1,1,0.9822341343363813
seq_3428|1,1,0.8218532702265942
seq_2373|1,1,0.5106101175616468
seq_2059|1,1,0.9049424533176724
seq_4978|1,1,0.5830582803297898
seq_1527|1,1,0.9484315090970248
seq_4776|1,1,0.8393911099346661
seq_3841|1,1,0.9562459716624638
seq_1189|1,1,0.9877085948857973
seq_3715|1,1,0.9690588030945085
seq_422|1,1,0.9890564874879114
seq_2391|1,1,0.8573751731833112
seq_61|1,1,0.9907739693922342
seq_167|1,1,0.9424841074427419
seq_1129|1,1,0.6919592620602779
seq_3931|1,1,0.9674087199687829
seq_351|1,1,0.8355959832483041
seq_2864|1,1,0.9746768108672765
seq_4461|1,1,0.8707473879697621
seq_4971|1,1,0.5504929169320494
seq_2280|1,0,0.40957308537068254
seq_1743|1,1,0.9773828778050474
seq_2103|1,1,0.797959164178967
seq_607|1,1,0.6722721226391736
seq_731|1,1,0.8793195275061891
seq_3807|1,1,0.9727621533916749
seq_3494|1,1,0.9913225951114852
seq_533|1,1,0.8850138959588683
seq_4346|1,1,0.5266251392538709
seq_2162|1,0,0.11670598944088803
seq_3699|1,1,0.9857574014811965
seq_909|1,1,0.8770400408039477
seq_4249|1,1,0.9795292694377746
seq_3636|1,1,0.9214225945462046
seq_3091|1,1,0.9210536677389948
seq_1198|1,1,0.9591121923164411
seq_1133|1,1,0.9312803972533439
seq_1777|1,1,0.938564565071475
seq_642|1,1,0.7975711869710258
seq_4479|1,1,0.9719990194832286
seq_1720|1,1,0.9441412019797539
seq_4653|1,0,0.40024932102464494
seq_4843|1,1,0.9550944684864765
seq_4799|1,1,0.5834215646551396
seq_3411|1,1,0.8613011623782915
seq_1834|1,1,0.9746605062802057
seq_4536|1,1,0.7815785888256795
seq_3058|1,1,0.9715505200179738
seq_1488|1,1,0.882145041183238
seq_2297|1,1,0.9805507113270994
seq_725|1,1,0.957974673253801
seq_56|1,1,0.8782515995541191
seq_4428|1,1,0.9684598994918344
seq_2234|1,1,0.9154464925026139
seq_3796|1,1,0.8245416141830701
seq_1466|1,1,0.7344010161765381
seq_4133|1,1,0.8402619483420859
seq_1922|1,1,0.9797293315251596
seq_711|1,1,0.938210503737636
seq_4920|1,1,0.9560097604632402
seq_3062|1,1,0.9502694735150177
seq_4939|1,1,0.9809735443845872
seq_3984|1,1,0.8272253257834061
seq_1200|1,1,0.9927366279451181
seq_166|1,1,0.7551952932119925
seq_2607|1,1,0.9799855581447285
seq_3082|1,1,0.9248402819131041
seq_4174|1,1,0.99747719061109
seq_2568|1,1,0.9198930119491223
seq_290|1,1,0.8201149013418421
seq_3415|1,1,0.7214452306620874
seq_4742|1,0,0.1919452183448322
seq_4821|1,1,0.9361319666048901
seq_1835|1,1,0.9275201472523614
seq_4752|1,1,0.9122241829689881
seq_2284|1,0,0.4237373352665899
seq_907|1,0,0.11229725808290156
seq_8|1,1,0.792052501056837
seq_3003|1,1,0.978898485050351
seq_4858|1,1,0.6170525368656852
seq_3576|1,1,0.8116717434541247
seq_1637|1,1,0.6731846382041483
seq_4950|1,1,0.7424073462013249
seq_2762|1,1,0.8211073665111293
seq_1984|1,1,0.9520889646512816
seq_1421|1,1,0.5289956436193829
seq_2233|1,1,0.9865412615255413
seq_4202|1,1,0.9556867578246995
seq_1596|1,1,0.5800002544336231
seq_4190|1,1,0.8999492547459764
seq_2700|1,1,0.7730076578511054
seq_1482|1,1,0.979582768902179
seq_4885|1,1,0.9568009806795692
seq_4238|1,0,0.3156699974516793
seq_4842|1,1,0.9841036054067458
seq_3110|1,1,0.9414689716100909
seq_1195|1,1,0.9947372630224416
seq_4312|1,1,0.6558304132769873
seq_1161|1,1,0.6818959574047826
seq_2180|1,1,0.7472601145027435
seq_2237|1,1,0.9050502293345445
seq_654|1,1,0.6356967634991781
seq_180|1,1,0.9864233466635935
seq_3888|1,1,0.9680856595715792
seq_4432|1,1,0.9842990752284065
seq_855|1,1,0.7365757153591127
seq_3873|1,1,0.9316885512989219
seq_1335|1,1,0.8552794444524932
seq_3258|1,1,0.8542678667461803
seq_4626|1,1,0.9337526843802398
seq_4731|1,1,0.8365786947496908
seq_3781|1,1,0.9691857343470246
seq_469|1,1,0.9877860792144699
seq_141|1,1,0.9639353887588856
seq_4578|1,1,0.9859718180377768
seq_1534|1,1,0.9564086890826456
seq_1418|1,1,0.9784676980969543
seq_3024|1,1,0.8019292162307106
seq_4539|1,1,0.8175800921478822
seq_3740|1,0,0.048589206364832556
seq_4869|1,1,0.791269561349507
seq_20|1,1,0.6765954834599718
seq_632|1,1,0.8674081880477755
seq_2716|1,1,0.9276660667185477
seq_4905|1,1,0.9916678429372535
seq_841|1,1,0.7854806609691198
seq_3535|1,1,0.5870630272434105
seq_3758|1,1,0.9776646684211885
seq_1347|1,1,0.9346915197837463
seq_4063|1,1,0.950523114035264
seq_2938|1,1,0.8929881502312249
seq_2704|1,1,0.8061816692038687
seq_960|1,1,0.9756666739536416
seq_2476|1,1,0.9856764447665715
seq_3289|1,1,0.9826539228470353
seq_1239|1,0,0.3483883778127339
seq_4189|1,1,0.9704017128331378
seq_2826|1,1,0.8743551679262651
seq_1268|1,1,0.8162921416898601
seq_1027|1,1,0.9177013705724306
seq_4046|1,1,0.6578295488024013
seq_1405|1,1,0.991597113085475
seq_4648|1,1,0.954108873895283
seq_3023|1,1,0.9413439168491817
seq_3153|1,1,0.8957448749483135
seq_862|1,1,0.8942487839024765
seq_3885|1,1,0.963249764213242
seq_2795|1,1,0.7413062583834983
seq_3259|1,1,0.9389979202836438
seq_2798|1,1,0.8154628618698494
seq_4316|1,1,0.8460982669645722
seq_347|1,1,0.9782891585177852
seq_3738|1,1,0.7760011715245234
seq_3495|1,1,0.8613101712930166
seq_54|1,1,0.8432989421978759
seq_4512|1,1,0.8419148336194665
seq_540|1,1,0.9349611229373201
seq_3985|1,1,0.8825217604799245
seq_3967|1,1,0.9633524996408726
seq_2193|1,1,0.8451558477014408
seq_3470|1,1,0.8785944910272362
seq_4209|1,1,0.9530766339023071
seq_2775|1,0,0.21449137680888355
seq_1603|1,1,0.9664524029195104
seq_4024|1,1,0.8581521285372307
seq_2245|1,1,0.9503158642399564
seq_1870|1,1,0.6956166376196383
seq_4612|1,1,0.8021435478291202
seq_2110|1,1,0.8534985810772754
seq_4160|1,1,0.9422224779756374
seq_3005|1,0,0.3411435262153636
seq_3945|1,1,0.8722689970898484
seq_3432|1,1,0.8831615623757707
seq_3051|1,0,0.25223265462659245
seq_986|1,1,0.8797508762448819
seq_696|1,1,0.9647190446368353
seq_4049|1,1,0.7558568216463531
seq_59|1,1,0.9475719982751196
seq_3198|1,1,0.7340536625145375
seq_1310|1,1,0.9367930684738826
seq_2125|1,1,0.9397355608705283
seq_3577|1,1,0.8526515246857036
seq_80|1,1,0.9143307416612029
seq_2856|1,1,0.7533120632144855
seq_1062|1,0,0.4516820551014098
seq_830|1,1,0.9871000049677175
seq_2897|1,1,0.9982591478781242
seq_529|1,1,0.8906088925199677
seq_2560|1,1,0.9250483846334747
seq_1620|1,1,0.8914542362538471
seq_350|1,1,0.9877471153013778
seq_2139|1,1,0.9571961315684251
seq_1926|1,1,0.9916950458538843
seq_2200|1,1,0.9706562227747695
seq_4348|1,1,0.5942944051780109
seq_4801|1,1,0.9674378085620663
seq_4922|1,1,0.8650540859877539
seq_4913|1,1,0.950463345762985
seq_900|1,1,0.7786492754546501
seq_2430|1,1,0.7690149864113025
seq_1535|1,1,0.9700577491551251
seq_1436|1,1,0.9755449211810742
seq_201|1,0,0.14107051363769552
seq_4301|1,1,0.7438947249696833
seq_517|1,1,0.8667768604542576
seq_3651|1,0,0.3339671282126067
seq_2386|1,1,0.6100150716051136
seq_1893|1,1,0.9679084443653997
